load_scenario,load,p_mw,q_mvar
0,0,0.0,0.0
0,1,12.062010404621338,7.059333278280691
0,2,41.86228028356106,8.443559717491084
0,3,20.72052587017127,-1.6905868387796643
0,4,2.885839107114829,0.6075450751820693
0,5,5.074084237054706,3.397824265884848
0,6,0.0,0.0
0,7,0.0,0.0
0,8,15.848094991187503,8.917911079786867
0,9,3.8870671564461228,2.504998834154168
0,10,1.7092909141643469,0.8790638987130927
0,11,3.0090993007250693,0.7892719477311658
0,12,7.864853496699735,3.3789740948784046
0,13,7.614586058427152,2.555230220948709
1,0,0.0,0.0
1,1,12.29828175603455,7.197611903301326
1,2,44.01000805732456,8.876753217507078
1,3,21.931139941637365,-1.7893607902172748
1,4,3.2018468834498877,0.6740730280947133
1,5,5.251884410544466,3.5168868820610264
1,6,0.0,0.0
1,7,0.0,0.0
1,8,16.296443564401162,9.170202141324046
1,9,4.125018843433716,2.6583454768795054
1,10,1.795415650386975,0.9233566201990157
1,11,3.095278180034901,0.8118762439435807
1,12,7.997433700265063,3.4359344786323973
1,13,7.828227500091588,2.626921979896506
2,0,0.0,0.0
2,1,12.46902760891384,7.297541503834368
2,2,45.5779018346287,9.192995062186254
2,3,23.02135123095501,-1.878311083697166
2,4,3.453652223822863,0.7270846786995502
2,5,5.395482027316966,3.6130460004354683
2,6,0.0,0.0
2,7,0.0,0.0
2,8,16.70321329685488,9.399096295857323
2,9,4.32821697624148,2.7892953846889537
2,10,1.8685457950525335,0.9609664088841601
2,11,3.1458928568640485,0.825152224751226
2,12,8.039390741219306,3.4539604665979238
2,13,7.96791565379886,2.6737971992613625
3,0,0.0,0.0
3,1,12.416522550898547,7.266812737161823
3,2,45.231733055138676,9.123173333839011
3,3,23.1551140471731,-1.8892247862756297
3,4,3.479644828337006,0.7325568059656855
3,5,5.356959427804658,3.5872496168334767
3,6,0.0,0.0
3,7,0.0,0.0
3,8,16.68946766878097,9.391361467856411
3,9,4.338345996421963,2.7958229754719315
3,10,1.8793262775238273,0.9665106570122541
3,11,3.0938776829543215,0.8115089004470353
3,12,7.914481461005398,3.400295738802319
3,13,7.918799171603974,2.6573151582563668
4,0,0.0,0.0
4,1,12.106424378597053,7.085326710054496
4,2,42.989678989440996,8.670954360927588
4,3,22.360526906631677,-1.8243944547251785
4,4,3.3011810474716277,0.6949854836782374
4,5,5.102568755149869,3.4168987199664302
4,6,0.0,0.0
4,7,0.0,0.0
4,8,16.068929791899052,9.042177442221162
4,9,4.134644088888986,2.6645484128395687
4,10,1.8229288870525568,0.9375062847698864
4,11,2.937645346221488,0.7705299268777676
4,12,7.608149510168838,3.268686456220686
4,13,7.599893592251883,2.5502998631717726
5,0,0.0,0.0
5,1,11.725758043908458,6.862540422010941
5,2,40.43208180903093,8.155090810738722
5,3,21.23768878468074,-1.732782139335876
5,4,3.0666826805768768,0.6456174064372373
5,5,4.790000777541759,3.207589806389571
5,6,0.0,0.0
5,7,0.0,0.0
5,8,15.289522386195733,8.603595647825395
5,9,3.881101618880431,2.5011543766118334
5,10,1.7326905040315772,0.891097973501954
5,11,2.7650258091353472,0.7252526712486157
5,12,7.268495257831137,3.1227609255867104
5,13,7.217716377356413,2.4220524756229573
6,0,0.0,0.0
6,1,11.464295140218491,6.709518353952757
6,2,38.21886913563037,7.708689103789565
6,3,20.617452184970787,-1.6821770611168634
6,4,2.8857674880288977,0.6075299974797681
6,5,4.464742131103848,2.9897826770784697
6,6,0.0,0.0
6,7,0.0,0.0
6,8,14.780222234177476,8.317006409740547
6,9,3.8120887707159867,2.456679430016969
6,10,1.6448874097169275,0.8459420964258484
6,11,2.6337046997627604,0.6908077901017077
6,12,7.280949629453755,3.1281116926542056
6,13,6.937963497428453,2.3281756702780045
7,0,0.0,0.0
7,1,11.282067186236793,6.60286881406485
