load_scenario,load_scenario_idx,load,p_mw,q_mvar
0,22338,0,-3.741940606261096e-07,-0.0
0,22338,1,18.63006102269342,10.903307603143153
0,22338,2,62.571941785757836,12.620667663794043
0,22338,3,36.388366213768755,-2.96892527685561
0,22338,4,4.577746228947196,0.9637360481994097
0,22338,5,9.818447641372705,6.5748533312763655
0,22338,6,-3.741940606261096e-07,-0.0
0,22338,7,-3.741940606261096e-07,-0.0
0,22338,8,22.497651135434594,12.659695215193704
0,22338,9,6.885042737186611,4.437027541742482
0,22338,10,2.4875817145190693,1.2793277388955215
0,22338,11,4.396013762955497,1.1530527902834091
0,22338,12,12.335235790128165,5.299582783906915
0,22338,13,10.832071455590075,3.634923307244992
1,22339,0,-3.741940606261096e-07,-0.0
1,22339,1,18.470185161236838,10.809739702659348
1,22339,2,62.41711182544742,12.589438690907652
1,22339,3,37.393800561952574,-3.050958623255545
1,22339,4,4.81903819082132,1.0145343559623832
1,22339,5,9.988915424665207,6.689005864731166
1,22339,6,-3.741940606261096e-07,-0.0
1,22339,7,-3.741940606261096e-07,-0.0
1,22339,8,22.204734370965546,12.494867476543325
1,22339,9,7.112342612884284,4.58350968385876
1,22339,10,2.4873187210860275,1.2791924851299572
1,22339,11,4.391320786784486,1.1518218457139635
1,22339,12,12.238608222988836,5.258068718024833
1,22339,13,10.803295223001388,3.625266853356171
2,22340,0,-3.741940606261096e-07,-0.0
2,22340,1,18.30381039268965,10.712368294339104
2,22340,2,62.23368614121176,12.552442003004495
2,22340,3,38.298112716815254,-3.1247414141334624
2,22340,4,5.014883946212863,1.0557650413079713
2,22340,5,10.134726360712751,6.786647116548718
2,22340,6,-3.741940606261096e-07,-0.0
2,22340,7,-3.741940606261096e-07,-0.0
2,22340,8,22.224728142943363,12.506118209249486
2,22340,9,7.280239910253348,4.691710164385491
2,22340,10,2.4742106568865214,1.272451194970211
2,22340,11,4.304360734744446,1.1290126517362482
2,22340,12,12.265433948771587,5.269593844657423
2,22340,13,10.675071023762289,3.5822385985779497
3,22341,0,-3.741940606261096e-07,-0.0
3,22341,1,17.91639520995843,10.485632219653091
3,22341,2,60.92270375293335,12.288018803670209
3,22341,3,38.626572240842705,-3.151540412955786
3,22341,4,5.177361768621733,1.089970898657207
3,22341,5,9.992802062159583,6.691608523767579
3,22341,6,-3.741940606261096e-07,-0.0
3,22341,7,-3.741940606261096e-07,-0.0
3,22341,8,22.011747618215953,12.386271541097791
3,22341,9,7.365334355747185,4.746548807037074
3,22341,10,2.448104277129021,1.259025056809211
3,22341,11,4.217953841634937,1.1063485486255573
3,22341,12,12.227007370981013,5.253084648273324
3,22341,13,10.575472891828614,3.5488164066538976
4,22342,0,-3.741940606261096e-07,-0.0
